date	foster care	children and baby institutions	foster care + c and b institutions	institutions for people with disabilities	correctional types of institutions
01/01/2007	6382	0	0	0	0
10/01/2007	6395.292683	0	0	0	0
19/01/2007	6408.585366	0	0	0	0
28/01/2007	6421.878049	0	0	0	0
06/02/2007	6435.170732	0	0	0	0
15/02/2007	6448.463415	0	0	0	0
24/02/2007	6461.756098	0	0	0	0
05/03/2007	6475.04878	0	0	0	0
14/03/2007	6488.341463	0	0	0	0
23/03/2007	6501.634146	0	0	0	0
01/04/2007	6514.926829	0	0	0	0
10/04/2007	6528.219512	0	0	0	0
19/04/2007	6541.512195	0	0	0	0
28/04/2007	6554.804878	0	0	0	0
07/05/2007	6568.097561	0	0	0	0
16/05/2007	6581.390244	0	0	0	0
25/05/2007	6594.682927	0	0	0	0
03/06/2007	6607.97561	0	0	0	0
12/06/2007	6621.268293	0	0	0	0
21/06/2007	6634.560976	0	0	0	0
30/06/2007	6647.853659	0	0	0	0
09/07/2007	6661.146341	0	0	0	0
18/07/2007	6674.439024	0	0	0	0
27/07/2007	6687.731707	0	0	0	0
05/08/2007	6701.02439	0	0	0	0
14/08/2007	6714.317073	0	0	0	0
23/08/2007	6727.609756	0	0	0	0
01/09/2007	6740.902439	0	0	0	0
10/09/2007	6754.195122	0	0	0	0
19/09/2007	6767.487805	0	0	0	0
28/09/2007	6780.780488	0	0	0	0
07/10/2007	6794.073171	0	0	0	0
16/10/2007	6807.365854	0	0	0	0
25/10/2007	6820.658537	0	0	0	0
03/11/2007	6833.95122	0	0	0	0
12/11/2007	6847.243902	0	0	0	0
21/11/2007	6860.536585	0	0	0	0
30/11/2007	6873.829268	0	0	0	0
09/12/2007	6887.121951	0	0	0	0
18/12/2007	6900.414634	0	0	0	0
27/12/2007	6913.707317	0	0	0	0
05/01/2008	6927	6079	13006	0	0
14/01/2008	6955.95122	6077.756098	13033.70732	0	0
23/01/2008	6984.902439	6076.512195	13061.41463	0	0
01/02/2008	7013.853659	6075.268293	13089.12195	0	0
10/02/2008	7042.804878	6074.02439	13116.82927	0	0
19/02/2008	7071.756098	6072.780488	13144.53659	0	0
28/02/2008	7100.707317	6071.536585	13172.2439	0	0
08/03/2008	7129.658537	6070.292683	13199.95122	0	0
17/03/2008	7158.609756	6069.04878	13227.65854	0	0
26/03/2008	7187.560976	6067.804878	13255.36585	0	0
04/04/2008	7216.512195	6066.560976	13283.07317	0	0
13/04/2008	7245.463415	6065.317073	13310.78049	0	0
22/04/2008	7274.414634	6064.073171	13338.4878	0	0
01/05/2008	7303.365854	6062.829268	13366.19512	0	0
10/05/2008	7332.317073	6061.585366	13393.90244	0	0
19/05/2008	7361.268293	6060.341463	13421.60976	0	0
28/05/2008	7390.219512	6059.097561	13449.31707	0	0
06/06/2008	7419.170732	6057.853659	13477.02439	0	0
15/06/2008	7448.121951	6056.609756	13504.73171	0	0
24/06/2008	7477.073171	6055.365854	13532.43902	0	0
03/07/2008	7506.02439	6054.121951	13560.14634	0	0
12/07/2008	7534.97561	6052.878049	13587.85366	0	0
21/07/2008	7563.926829	6051.634146	13615.56098	0	0
30/07/2008	7592.878049	6050.390244	13643.26829	0	0
08/08/2008	7621.829268	6049.146341	13670.97561	0	0
17/08/2008	7650.780488	6047.902439	13698.68293	0	0
26/08/2008	7679.731707	6046.658537	13726.39024	0	0
04/09/2008	7708.682927	6045.414634	13754.09756	0	0
13/09/2008	7737.634146	6044.170732	13781.80488	0	0
22/09/2008	7766.585366	6042.926829	13809.5122	0	0
01/10/2008	7795.536585	6041.682927	13837.21951	0	0
10/10/2008	7824.487805	6040.439024	13864.92683	0	0
19/10/2008	7853.439024	6039.195122	13892.63415	0	0
28/10/2008	7882.390244	6037.95122	13920.34146	0	0
06/11/2008	7911.341463	6036.707317	13948.04878	0	0
15/11/2008	7940.292683	6035.463415	13975.7561	0	0
24/11/2008	7969.243902	6034.219512	14003.46341	0	0
03/12/2008	7998.195122	6032.97561	14031.17073	0	0
12/12/2008	8027.146341	6031.731707	14058.87805	0	0
21/12/2008	8056.097561	6030.487805	14086.58537	0	0
30/12/2008	8085.04878	6029.243902	14114.29268	0	0
08/01/2009	8114	6028	14142	2321	1063
17/01/2009	8120.975	6029.85	14150.825	2318.1	1059.575
26/01/2009	8127.95	6031.7	14159.65	2315.2	1056.15
04/02/2009	8134.925	6033.55	14168.475	2312.3	1052.725
13/02/2009	8141.9	6035.4	14177.3	2309.4	1049.3
22/02/2009	8148.875	6037.25	14186.125	2306.5	1045.875
03/03/2009	8155.85	6039.1	14194.95	2303.6	1042.45
12/03/2009	8162.825	6040.95	14203.775	2300.7	1039.025
21/03/2009	8169.8	6042.8	14212.6	2297.8	1035.6
30/03/2009	8176.775	6044.65	14221.425	2294.9	1032.175
08/04/2009	8183.75	6046.5	14230.25	2292	1028.75
17/04/2009	8190.725	6048.35	14239.075	2289.1	1025.325
26/04/2009	8197.7	6050.2	14247.9	2286.2	1021.9
05/05/2009	8204.675	6052.05	14256.725	2283.3	1018.475
14/05/2009	8211.65	6053.9	14265.55	2280.4	1015.05
23/05/2009	8218.625	6055.75	14274.375	2277.5	1011.625
01/06/2009	8225.6	6057.6	14283.2	2274.6	1008.2
